contrast_0,homogeneity_0,correlation_0,contrast_45,contrast_90,label
542.2248484848485,0.4755275968461243,-16860.375725435842,823.9570451994695,407.9411111111111,A
1086.774693877551,0.4314403192189796,-17077.509145895212,823.9570451994695,861.6495918367347,A
1325.6701030927834,0.4057706586332137,-17300.1536053837,1424.2063723448564,1114.9972164948454,A
1570.7871875,0.3866369028268114,-17528.276581638478,1738.8142204272508,1335.0121875000002,A
1707.6437894736846,0.3633949310731493,-17761.913495467616,1914.86328125,1475.0625263157897,A
634.8684848484849,0.4769158409573312,-16826.724343105692,951.098867462504,453.7507070707072,A
1288.331224489796,0.4330005637685058,-17043.351633626462,951.098867462504,984.1029591836734,A
1549.1517525773197,0.4096525976438453,-17265.454179027958,1641.187317784257,1267.5180412371135,A
1813.3464583333332,0.386603316701809,-17492.915083783526,1998.4415984695504,1507.7461458333337,A
1983.7278947368425,0.3719893739286811,-17724.768516032673,2170.951497395833,1659.9979999999998,A
491.5724242424242,0.4517850159939602,-18169.87119741165,743.6202428323639,350.5229292929292,A
987.0075510204082,0.3996209897959105,-18407.186971108837,743.6202428323639,740.1793877551021,A
1231.6172164948453,0.3704114022841951,-18650.64254055894,1232.835693461058,950.6178350515464,A
1464.7961458333336,0.3501168338643264,-18900.77098709325,1577.5542565628657,1158.784791666667,A
1577.7446315789473,0.3315465840582354,-19157.480735725567,1744.0469835069443,1290.2057894736845,A
317.07919191919194,0.6469669936572501,-11901.26340643318,413.8172635445363,138.8988888888889,A
569.4167346938776,0.6084466991660471,-12043.638817735842,413.8172635445363,333.73693877551017,A
671.7280412371134,0.5927674011159003,-12189.89430366168,647.9106622240733,437.7027835051546,A
825.2496875,0.5781209424874683,-12340.491324239963,801.6557551280689,495.7605208333333,A
879.8426315789476,0.5640398647701288,-12492.129530504011,873.2178819444445,548.3687368421052,A
285.48494949494955,0.3087366354850682,-17045.566959258977,461.87715539230686,193.88050505050495,A
568.9601020408164,0.2418668908811194,-17091.88988826117,461.87715539230686,408.4883673469389,A
655.1519587628867,0.2261028261650383,-17163.393776408888,705.6001665972511,509.5006185567011,A
763.5392708333333,0.2111276575168524,-17224.10408003692,824.8889361249868,612.8511458333335,A
811.472947368421,0.2100373427730569,-17291.618640100096,956.2740885416669,681.9844210526315,A
382.7819191919192,0.6900296801891728,-10049.50072225975,531.2896643199674,208.80515151515155,A
711.6857142857143,0.6572028416471607,-10149.354016257825,531.2896643199674,476.595,A
839.1386597938142,0.6456711578462933,-10250.367068459556,815.5296751353604,600.7955670103092,A
1024.1698958333334,0.6384355096407396,-10343.506691384577,1021.1349771495378,684.6103125000001,A
1084.7237894736843,0.6295275488650061,-10438.473134422744,1132.9618055555554,769.3344210526317,A
352.0009090909091,0.2612483288192838,-18965.432445553142,536.5901438628712,194.7921212121212,A
689.3916326530613,0.2060489833067088,-19010.369612428043,536.5901438628712,451.2723469387755,A
784.4275257731961,0.1899248315344631,-19080.153124201628,861.670762182424,592.0420618556701,A
897.8766666666668,0.1790127521738639,-19155.888472880684,997.9820384738016,685.1115625,A
933.241894736842,0.1763872021720266,-19239.40242074696,1051.1448567708337,735.0833684210526,A
414.2204040404041,0.6977359346446622,-9990.343381723153,514.8985817773696,164.31121212121212,A
773.4506122448979,0.669585030427774,-10108.244445263856,514.8985817773696,401.98285714285714,A
892.0435051546392,0.6525791537632585,-10228.795295352538,834.9171178675552,553.2608247422679,A
1062.3522916666668,0.63814680472367,-10352.28360349174,1014.727388670422,659.5588541666667,A
1094.920210526316,0.6255203193423471,-10478.697936134491,1120.5196397569443,743.6675789473685,A
334.7976767676768,0.2962908126927011,-17617.918100104154,535.8212427303336,233.0061616161616,A
692.2569387755102,0.2354003496247031,-17673.434583066504,535.8212427303336,490.4430612244898,A
819.6567010309278,0.2153544496552396,-17762.281518578948,838.9562682215743,600.1946391752576,A
944.3276041666668,0.1999689356932349,-17837.1189712704,1012.8990328408972,718.3352083333334,A
1003.9615789473686,0.1975217849634843,-17920.661396379837,1098.4715711805554,812.9117894736843,A
524.2660606060606,0.7271448312952403,-8992.418867021997,679.7614529129681,247.74606060606055,A
968.718163265306,0.6983841432275388,-9097.144429041027,679.7614529129681,579.5457142857142,A
1138.7531958762888,0.682667482725353,-9204.18778380441,1075.7190753852562,759.4805154639176,A
1377.5002083333334,0.6681722019062183,-9313.80845062632,1326.2437028377085,887.3375000000001,A
1481.7511578947367,0.6555321285806245,-9425.998738293443,1502.6786024305557,987.8906315789476,A
334.489898989899,0.3099011376955646,-15912.054363267092,512.2716049382716,245.47333333333333,A
676.0859183673471,0.2518788183444842,-15952.697272241632,512.2716049382716,499.4988775510204,A
824.9782474226805,0.2333273036186436,-16005.08727970078,824.5566430653895,636.3204123711341,A
980.2383333333332,0.2140240751428296,-16049.442827314062,1031.6473589116804,780.5718749999999,A
1075.3743157894737,0.2138778835410114,-16090.096876720738,1179.3172743055557,877.327894736842,A
471.2555555555556,0.4569624686857312,-17318.55711682288,701.5934088358331,319.01202020202027,A
968.0644897959183,0.3972366005244382,-17542.873862471653,701.5934088358331,667.1246938775511,A
1211.39587628866,0.3693840217091749,-17772.915422843536,1189.948979591837,855.2338144329897,A
1422.7460416666668,0.3433734549718288,-18007.526696157758,1508.288234668934,1043.0687500000004,A
1532.9341052631578,0.3304347629634219,-18245.93859681996,1673.512803819444,1137.6113684210527,A
381.7434343434344,0.7409631828266233,-7541.434502901097,537.5653504744414,164.32444444444442,A
726.4435714285714,0.7092754302565102,-7619.691478367512,537.5653504744414,392.9357142857143,A
877.5050515463919,0.6919028089982411,-7700.814112729242,852.1292169929197,519.2809278350516,A
1071.6555208333334,0.6793626220827866,-7783.113920321311,1057.4321394409608,596.3645833333335,A
1136.220947368421,0.6698108804144354,-7867.402556799838,1175.1276041666663,658.1884210526317,A
334.79242424242426,0.2779297595622478,-17101.30721747409,506.265585144373,236.27,A
675.1724489795919,0.2183138449976796,-17148.54982529716,506.265585144373,510.6719387755102,A
780.2613402061857,0.2045815967742301,-17213.48745365718,862.7721782590587,659.3958762886598,A
902.8113541666668,0.1939241040830533,-17295.53589858688,1037.54883622064,760.0639583333334,A
977.2774736842106,0.1893168304912893,-17368.49212666533,1139.4461805555557,814.1769473684211,A
313.5123232323233,0.6718744569080357,-9833.197519375364,432.8825630037752,144.0628282828283,A
589.4779591836734,0.6323928377723657,-9949.020013455618,432.8825630037752,337.1311224489796,A
691.2973195876289,0.6143959276536571,-10067.434665771085,682.4020199916702,430.7219587628866,A
836.0335416666667,0.6008862064592722,-10188.733576232313,833.3698586459772,497.30479166666674,A
895.2608421052632,0.5854820998929063,-10312.909131706378,920.3161892361112,565.4183157894737,A
355.3360606060607,0.258327405967826,-19874.343859867437,573.8477706356496,259.8757575757576,A
705.9817346938775,0.2036387250390017,-19953.842984803818,573.8477706356496,544.7195918367347,A
840.1596907216494,0.1928275068143132,-20070.254526078388,937.03071636818,688.518144329897,A
979.720625,0.1819389173813198,-20182.95935783924,1111.681262620895,828.6102083333333,A
1033.9828421052632,0.1798557992079075,-20292.92781142145,1252.0872395833333,913.0853684210527,A
266.8934343434343,0.1011712886510297,-89024.83244530101,437.9758187940006,274.0007070707071,A
448.1927551020408,0.0771675662906608,-88828.84713037955,437.9758187940006,458.3668367346938,A
519.3873195876289,0.076284686369925,-88783.59560265206,530.0908996251562,522.8045360824742,A
600.5114583333333,0.0724350033003586,-88689.18195843707,683.3103411627167,597.3809375000001,A
620.6013684210527,0.0722847488350793,-88416.04398896618,747.7473958333334,637.3765263157893,A
200.83696969696973,0.3626173051124032,-13338.24503202611,388.6183042546679,199.04050505050503,A
413.7424489795918,0.2821498199085668,-13394.489505357367,388.6183042546679,393.8747959183673,A
496.1343298969072,0.263689495918309,-13465.036588548912,593.509371095377,461.4942268041238,A
582.3164583333333,0.249388001143451,-13539.549779678293,727.7528961632479,567.8020833333334,A
645.9752631578948,0.2444697235674631,-13614.889006985586,833.9903428819443,650.3656842105264,A
311.2134343434343,0.2960415463483793,-15529.498699891225,513.0604019997959,241.55161616161612,A
617.5324489795919,0.2339856191897043,-15567.89362741352,513.0604019997959,491.3433673469387,A
683.7988659793816,0.2237477038479468,-15632.054749710176,785.759371095377,600.9358762886598,A
773.76375,0.2054538398661792,-15708.405429411288,945.169518546073,732.8937500000001,A
854.5305263157896,0.2056936700642567,-15784.21358503538,1078.8768446180554,837.7747368421053,A
221.9181818181818,0.6996001994030215,-8462.723753024677,397.00316294255686,216.25151515151515,A
422.7881632653062,0.6616581198830548,-8558.200804781856,397.00316294255686,473.0724489795919,A
501.6803092783505,0.6445009777989411,-8655.481234989125,680.6755518533944,549.2457731958764,A
615.1734375000001,0.6291466174554667,-8755.18345096216,793.5064300138167,605.5452083333334,A
679.7525263157895,0.6156739776360305,-8857.87355055313,877.3426649305554,659.6355789473685,A
276.22474747474746,0.2783602085951477,-18485.86295663953,467.4154678094072,224.42131313131316,A
574.0955102040816,0.2176283750716826,-18534.23564415664,467.4154678094072,476.75408163265314,A
661.097113402062,0.2037249142113201,-18608.724080956712,755.6328613077884,580.421855670103,A
732.8602083333334,0.1947752199086079,-18692.26734740104,886.6551174407481,656.1400000000001,A
806.680105263158,0.1897961169699247,-18777.507023262973,985.7465277777778,681.8410526315789,A
435.6648484848485,0.7449332438674211,-8589.475572986066,592.0218345066829,166.9452525252525,A
812.4655102040817,0.716759091724143,-8688.973783148514,592.0218345066829,394.280306122449,A
961.0624742268042,0.700396002822934,-8790.655898804749,943.0446688879636,521.7425773195876,A
1189.5958333333333,0.6883300245364942,-8894.786825265362,1158.2974811350834,607.3586458333334,A
1262.3787368421054,0.6768976811835009,-9001.316027234152,1334.3961588541667,693.4850526315788,A
479.97515151515154,0.4694150387304808,-17079.69054051122,721.203652688501,322.4849494949495,A
960.7871428571428,0.4126498995662581,-17300.25706613672,721.203652688501,680.175,A
1188.9843298969074,0.3880946651459018,-17526.437278042413,1244.3543315285297,867.6346391752577,A
1406.3353125,0.3640073039910575,-17757.85308440985,1523.3495589329366,1042.9416666666668,A
1520.3447368421057,0.3465294305086249,-17994.363435997337,1679.0819227430557,1144.1357894736843,A
317.32757575757574,0.280597430904604,-16379.82394070512,594.5183144577084,330.70272727272726,A
650.7224489795917,0.2202923471763681,-16444.341246721488,594.5183144577084,600.1364285714286,A
758.987319587629,0.2093700686758472,-16528.128504949054,886.1143273635986,671.1837113402063,A
877.5072916666668,0.1935201096904218,-16621.28830500148,1105.5220533531726,845.1365625000001,A
941.7784210526318,0.1966135388549724,-16721.801861503274,1251.2745225694446,954.7376842105264,A
197.3386868686869,0.2035927858805806,-34016.17794357452,482.1136618712376,334.18141414141417,A
360.575306122449,0.1517907903607642,-34145.05729136389,482.1136618712376,509.4872448979592,A
427.3809278350516,0.1384839031117945,-34336.1395090626,666.9098292378176,564.7517525773196,A
527.2354166666668,0.1255887060251297,-34537.57224293546,740.8039111488999,683.56875,A
579.8673684210527,0.1224201939453049,-34766.16034630404,844.9513888888887,678.0292631578947,A
456.3832323232324,0.7294402767767049,-8119.338351063918,465.7817569635752,170.9518181818182,A
849.651836734694,0.6978381239224445,-8212.829769777763,465.7817569635752,429.1772448979592,A
1022.50206185567,0.6791131598452557,-8308.342861028159,809.6492086630572,597.4322680412372,A
1250.906875,0.6636202581538543,-8406.131597390191,1065.0340099904347,711.3539583333335,A
1324.314105263158,0.6522039320876076,-8506.14363684338,1204.0529513888891,807.1,A
416.6549494949495,0.2569281703079847,-19776.734271306195,639.6417712478319,281.8445454545455,A
753.7487755102042,0.2017027795721236,-19837.309500754083,639.6417712478319,574.7633673469388,A
815.5271134020618,0.1953856923424711,-19936.422182350365,921.7473969179508,726.2960824742269,A
958.1195833333333,0.1797054509945982,-20038.20230113797,1126.9096609629078,870.6578125000001,A
1004.4734736842104,0.1744800230793979,-20153.905874348355,1251.3708767361113,950.1489473684212,A
669.6636363636363,0.450010424507222,-17697.65367986722,992.0718294051628,437.7448484848484,A
1362.138163265306,0.3943436130013156,-17927.932631222087,992.0718294051628,916.0596938775512,A
1671.5814432989696,0.3688145861329316,-18164.110580618293,1691.3720324864637,1169.7640206185567,A
1958.2860416666667,0.34894303312921,-18403.72656673649,2101.6291848230417,1412.453854166667,A
2090.3210526315797,0.3317142239569711,-18648.96035368323,2330.6969401041665,1557.4434736842106,A
679.5556565656565,0.4432522442634117,-17634.582516784278,1013.5859606162636,478.97242424242427,A
1388.811428571429,0.3946459361496301,-17863.49319096858,1013.5859606162636,1006.9061224489795,A
1739.1255670103094,0.3675294092737858,-18098.651040543373,1744.680966264057,1250.8196907216493,A
2080.878958333333,0.3442820319761775,-18339.30543450485,2166.007758529068,1507.6405208333335,A
2253.5981052631582,0.3220511047392778,-18585.614166418654,2382.972981770833,1673.1676842105269,A
572.5386868686868,0.4181662732194336,-22856.92603141053,765.4982144679113,305.67808080808084,A
