contrast_0,homogeneity_0,energy_0,correlation_0,contrast_90,label
278.42888888888893,0.517161546478631,0.3833929100241554,-53273.10284864459,180.2250505050505,A
765.2997959183673,0.4686129341693861,0.3676095149999982,-54266.91867635904,500.0557142857143,A
1298.900206185567,0.4394206043111304,0.3537501443527761,-55298.51897920939,837.5653608247424,A
1849.151041666667,0.415595804827599,0.3395117831063533,-56370.09675879957,1153.6626041666668,A
2401.188105263158,0.3952260780417257,0.326718732542084,-57482.45055595346,1452.511789473684,A
267.91252525252526,0.5223517754434557,0.402512971436037,-51761.76315016861,173.62151515151515,A
751.5136734693879,0.4785587843685678,0.387338713058613,-52714.87734800575,479.9377551020408,A
1287.119381443299,0.4492901480988142,0.3731584249591213,-53703.75101444903,802.229381443299,A
1844.428541666667,0.4271505184719444,0.358899715904581,-54730.43142895618,1112.1821875,A
2406.864210526316,0.4065281489833556,0.3449083542815186,-55795.0959671135,1402.2294736842105,A
347.10111111111115,0.4773661705408487,0.3453947021236371,-49672.70814517352,194.3815151515152,A
888.2833673469388,0.4317903201668848,0.3295947747389113,-50570.4790344374,537.8397959183674,A
1423.9104123711345,0.4058112073516662,0.3188046611108582,-51501.3000071326,918.0640206185568,A
1959.7358333333336,0.3810176303322846,0.3051553921661151,-52466.8715515034,1295.6667708333334,A
2496.7957894736846,0.3603108579400191,0.291521636016828,-53468.52591805031,1668.5821052631582,A
102.48565656565656,0.6655163136372837,0.5808826302617265,-1826245.679201225,43.304949494949504,A
285.16938775510204,0.6313723351315887,0.5715527744027932,-1810230.5285819625,138.5219387755102,A
453.48597938144326,0.6110455862602945,0.5624189931160054,-1794245.4530124045,256.9315463917526,A
608.4468750000001,0.5939399788662361,0.5519840319499993,-1778284.6902212347,383.768125,A
755.781052631579,0.5807723791836659,0.5427510512206384,-1762335.5014542812,508.6567368421053,A
138.50939393939396,0.3520549566180904,0.0656812696337079,-292659.4107827552,84.86464646464647,A
418.499081632653,0.2540514913309913,0.0550912687883452,-291039.13952469843,263.5988775510204,A
718.5357731958763,0.2321160560867866,0.0529104064092074,-289404.4193056474,475.9032989690722,A
1014.6484375,0.2155623560369872,0.0514787830486178,-287728.2975245698,698.4763541666667,A
1301.1443157894737,0.2046956454798751,0.0502818648021117,-286130.9952151869,915.5706315789472,A
99.39161616161616,0.7151786187523,0.6386687926870798,-2021672.802438368,51.752626262626265,A
281.05887755102043,0.6830395375315854,0.6303446694724733,-2003067.574700106,168.6188775510204,A
451.02041237113406,0.6688901350022927,0.6271307986218527,-1984418.6263860024,308.30886597938144,A
610.3968750000001,0.6577184828602004,0.6209905945957546,-1965735.0838046533,449.2141666666668,A
762.8585263157895,0.6494769767863607,0.6168879092029407,-1946998.190031376,577.9983157894736,A
85.94353535353535,0.381110753672413,0.077578256483321,-251964.69492535308,53.65686868686869,A
262.0282653061224,0.2805276633753857,0.0652477417623109,-250806.30725921429,165.70867346938778,A
454.2692783505154,0.2572027308273103,0.0628126995248281,-249581.8113978749,303.029793814433,A
650.9855208333333,0.2468175376549516,0.0618053409796524,-248290.2949688638,456.7582291666667,A
848.3442105263158,0.2347358476114553,0.060478424989385,-246995.85487665495,615.2474736842105,A
77.47030303030303,0.7371816821060931,0.6755565070555378,-1736615.3833395909,31.053939393939395,A
222.9544897959184,0.7101082060435566,0.6663538763648329,-1720364.0471684772,101.4491836734694,A
372.92680412371135,0.694799078177798,0.6577810471938224,-1704124.0863240988,193.4639175257732,A
521.6668750000001,0.6809116480864926,0.6479050106132671,-1687895.957709613,300.90875,A
669.4566315789473,0.6693285506173683,0.6387545360627352,-1671680.1446695663,415.9638947368421,A
135.08494949494948,0.3559111049409177,0.055708146733566,-265116.86833132006,84.75343434343435,A
409.2474489795919,0.261920754931021,0.0468559606620404,-264285.6570790307,262.0232653061225,A
717.6949484536083,0.238247577152028,0.0452806226309151,-263458.0405622072,466.6796907216496,A
1039.9040625,0.2284046110565293,0.0444580599804155,-262577.8129136,678.99875,A
1359.214631578947,0.2157963570145249,0.0436873809883097,-261665.64078302289,887.9422105263158,A
107.33373737373736,0.7604069702979481,0.7042842932204095,-2135598.324176306,54.62070707070707,A
303.90306122448976,0.7348696681992818,0.6940642755962103,-2114990.1737743528,175.1092857142857,A
501.68865979381445,0.7196984955296591,0.6860707551649253,-2094388.8890542963,317.83597938144334,A
686.7872916666666,0.7069466651850569,0.676869757982164,-2073794.7255957967,459.7966666666666,A
861.4227368421053,0.6964422740701902,0.6667614540186744,-2053207.9569076165,587.188,A
123.30909090909093,0.3909785821068362,0.0844705387163446,-216412.7978655307,78.92848484848486,A
361.9943877551021,0.2903703875383309,0.0715507701079478,-215607.50897482072,235.45459183673464,A
612.956907216495,0.2646300948818394,0.0692121984116249,-214775.4937098897,404.8417525773196,A
861.0939583333334,0.2544447448266356,0.0685058797152153,-213916.904550288,574.3411458333335,A
1109.4908421052633,0.2415820029164205,0.0672597808228921,-213068.9269553788,741.6653684210526,A
332.4208080808081,0.4795301883101836,0.3390555371614942,-50133.12819301616,183.6137373737373,A
874.3844897959184,0.4269195796464079,0.3204500817503317,-51043.21107778056,503.1430612244898,A
1421.3043298969071,0.3962670655014589,0.3083199238944742,-51986.942414840494,851.5152577319587,A
1973.5004166666668,0.3731959701055581,0.2942847157492401,-52966.22361506808,1201.9101041666668,A
2532.270842105263,0.3540639338067314,0.2807614103274983,-53979.70043375027,1551.1187368421051,A
111.31939393939392,0.7682821143204231,0.6880743132726685,-1653922.2679725518,48.55888888888889,A
318.8072448979592,0.7415180820799991,0.6801159191443417,-1637561.1088205348,162.0383673469388,A
525.9118556701031,0.7279687469532945,0.6752779095120234,-1621208.291199,306.59402061855667,A
728.1640625,0.7147722867473757,0.6673280735983612,-1604862.8471036125,464.99177083333336,A
928.6609473684214,0.7045904331760229,0.6610054961405222,-1588532.2656879837,627.0095789473685,A
112.5820202020202,0.3709390838224961,0.0780540809117947,-310809.1725286861,70.07949494949496,A
341.46979591836737,0.2715403139242995,0.0665190299170686,-309443.2054679446,210.0928571428572,A
